problem,bucket,metric,count,mean,std,min,p25,median,p75,max
1,correct,response_length_chars,1118,4144.3193,2252.2843,1066.0000,2594.0000,3345.0000,4928.0000,13704.0000
1,correct,response_length_tokens,622,1762.1286,2559.5429,0.0000,0.0000,0.0000,3060.5000,11609.0000
1,correct,mean_negative_logprob,1118,0.1820,0.2694,0.0000,0.0000,0.0000,0.4475,0.8674
1,correct,mean_logprob,1118,-0.1820,0.2694,-0.8674,-0.4475,-0.0000,-0.0000,-0.0000
1,incorrect,response_length_chars,808,7613.3639,3379.5287,852.0000,4999.0000,7500.0000,10387.0000,16000.0000
1,incorrect,response_length_tokens,445,2983.4090,4281.0890,0.0000,0.0000,0.0000,5784.0000,16000.0000
1,incorrect,mean_negative_logprob,808,0.2345,0.3391,0.0000,0.0000,0.0000,0.6001,1.1170
1,incorrect,mean_logprob,808,-0.2345,0.3391,-1.1170,-0.6001,-0.0000,-0.0000,-0.0000
2,correct,response_length_chars,1223,3806.3663,1838.4589,1000.0000,2491.0000,3281.0000,4666.0000,14088.0000
2,correct,response_length_tokens,673,1447.3611,2261.3931,0.0000,0.0000,0.0000,2715.0000,14088.0000
2,correct,mean_negative_logprob,1223,0.1364,0.2175,0.0000,0.0000,0.0000,0.3140,0.9208
2,correct,mean_logprob,1223,-0.1364,0.2175,-0.9208,-0.3140,-0.0000,-0.0000,-0.0000
2,incorrect,response_length_chars,697,7485.1879,3328.1707,821.0000,4820.0000,7017.0000,9887.0000,15918.0000
2,incorrect,response_length_tokens,403,3966.9826,4678.2218,0.0000,0.0000,0.0000,7885.0000,15283.0000
2,incorrect,mean_negative_logprob,697,0.2615,0.3267,0.0000,0.0000,0.0000,0.5668,1.0052
2,incorrect,mean_logprob,697,-0.2615,0.3267,-1.0052,-0.5668,-0.0000,-0.0000,-0.0000
3,correct,response_length_chars,938,4405.2313,2027.4007,967.0000,3000.0000,3788.0000,5382.0000,15261.0000
3,correct,response_length_tokens,558,2069.4642,2588.1884,0.0000,0.0000,0.0000,3493.0000,11591.0000
3,correct,mean_negative_logprob,938,0.1937,0.2650,0.0000,0.0000,0.0000,0.4091,0.9302
3,correct,mean_logprob,938,-0.1937,0.2650,-0.9302,-0.4091,-0.0000,-0.0000,-0.0000
3,incorrect,response_length_chars,1014,7775.5651,3084.9732,1192.0000,5626.0000,7360.0000,9808.5000,16000.0000
3,incorrect,response_length_tokens,534,2617.7247,4113.4039,0.0000,0.0000,0.0000,5340.5000,16000.0000
3,incorrect,mean_negative_logprob,1014,0.2189,0.3442,0.0000,0.0000,0.0000,0.5240,1.1681
3,incorrect,mean_logprob,1014,-0.2189,0.3442,-1.1681,-0.5240,-0.0000,-0.0000,-0.0000
4,correct,response_length_chars,799,4844.2103,1939.8025,1337.0000,3455.0000,4447.0000,5766.0000,12220.0000
4,correct,response_length_tokens,470,2264.3319,2756.2723,0.0000,0.0000,0.0000,4242.0000,11289.0000
4,correct,mean_negative_logprob,799,0.1851,0.2624,0.0000,0.0000,0.0000,0.3896,1.0558
4,correct,mean_logprob,799,-0.1851,0.2624,-1.0558,-0.3896,-0.0000,-0.0000,-0.0000
4,incorrect,response_length_chars,1044,8337.2577,3054.6998,1775.0000,5892.0000,8284.5000,10543.0000,16000.0000
4,incorrect,response_length_tokens,567,3546.3192,4729.7883,0.0000,0.0000,0.0000,7577.5000,16000.0000
4,incorrect,mean_negative_logprob,1044,0.2535,0.3526,0.0000,0.0000,0.0000,0.6090,1.1625
4,incorrect,mean_logprob,1044,-0.2535,0.3526,-1.1625,-0.6090,-0.0000,-0.0000,-0.0000
5,correct,response_length_chars,635,4837.7291,2198.1704,1446.0000,3220.0000,4346.0000,6038.0000,13654.0000
5,correct,response_length_tokens,348,2030.0201,3155.3744,0.0000,0.0000,0.0000,3674.2500,13654.0000
5,correct,mean_negative_logprob,635,0.1496,0.2428,0.0000,0.0000,0.0000,0.3157,0.8436
5,correct,mean_logprob,635,-0.1496,0.2428,-0.8436,-0.3157,-0.0000,-0.0000,-0.0000
5,incorrect,response_length_chars,1130,9030.9195,2976.5078,1484.0000,6814.2500,8816.0000,11145.0000,16000.0000
5,incorrect,response_length_tokens,638,4312.2931,5072.4802,0.0000,0.0000,0.0000,8955.7500,16000.0000
5,incorrect,mean_negative_logprob,1130,0.2946,0.3793,0.0000,0.0000,0.0000,0.6647,1.1299
5,incorrect,mean_logprob,1130,-0.2946,0.3793,-1.1299,-0.6647,-0.0000,-0.0000,-0.0000
6,correct,response_length_chars,742,5708.1482,2172.8304,1722.0000,3998.0000,5256.0000,7035.0000,14864.0000
6,correct,response_length_tokens,412,2100.8350,2898.1643,0.0000,0.0000,0.0000,4360.2500,14864.0000
6,correct,mean_negative_logprob,742,0.1812,0.2635,0.0000,0.0000,0.0000,0.4611,0.8699
6,correct,mean_logprob,742,-0.1812,0.2635,-0.8699,-0.4611,-0.0000,-0.0000,-0.0000
6,incorrect,response_length_chars,1083,8851.7535,2974.2986,1817.0000,6709.0000,8740.0000,10910.0000,16000.0000
6,incorrect,response_length_tokens,607,3823.8484,4687.8454,0.0000,0.0000,0.0000,8020.5000,16000.0000
6,incorrect,mean_negative_logprob,1083,0.2683,0.3589,0.0000,0.0000,0.0000,0.6263,1.2373
6,incorrect,mean_logprob,1083,-0.2683,0.3589,-1.2373,-0.6263,-0.0000,-0.0000,-0.0000
7,correct,response_length_chars,363,5335.0854,2597.8713,1570.0000,3419.5000,4716.0000,6667.0000,14274.0000
7,correct,response_length_tokens,223,2692.3049,3131.9071,0.0000,0.0000,2211.0000,4072.0000,14274.0000
7,correct,mean_negative_logprob,363,0.2404,0.2748,0.0000,0.0000,0.0000,0.4515,1.0381
7,correct,mean_logprob,363,-0.2404,0.2748,-1.0381,-0.4515,-0.0000,-0.0000,-0.0000
7,incorrect,response_length_chars,1290,8888.1395,3263.5556,1435.0000,6521.2500,8787.0000,11415.2500,16000.0000
7,incorrect,response_length_tokens,698,3422.2507,4707.7778,0.0000,0.0000,0.0000,7667.2500,16000.0000
7,incorrect,mean_negative_logprob,1290,0.2442,0.3493,0.0000,0.0000,0.0000,0.6248,1.0881
7,incorrect,mean_logprob,1290,-0.2442,0.3493,-1.0881,-0.6248,-0.0000,-0.0000,-0.0000
8,correct,response_length_chars,354,5488.5593,2245.5882,2381.0000,4084.0000,5016.0000,6119.2500,14904.0000
8,correct,response_length_tokens,213,2699.7183,3185.8206,0.0000,0.0000,2381.0000,4977.0000,14904.0000
8,correct,mean_negative_logprob,354,0.1984,0.2618,0.0000,0.0000,0.0000,0.4374,0.9749
8,correct,mean_logprob,354,-0.1984,0.2618,-0.9749,-0.4374,-0.0000,-0.0000,-0.0000
8,incorrect,response_length_chars,1189,9653.9975,3251.9922,2529.0000,7130.0000,9490.0000,12392.0000,16000.0000
8,incorrect,response_length_tokens,661,4105.7988,5130.5772,0.0000,0.0000,0.0000,9055.0000,16000.0000
8,incorrect,mean_negative_logprob,1189,0.2619,0.3475,0.0000,0.0000,0.0000,0.6275,1.0278
8,incorrect,mean_logprob,1189,-0.2619,0.3475,-1.0278,-0.6275,-0.0000,-0.0000,-0.0000
9,correct,response_length_chars,404,5363.4629,2314.8791,1578.0000,3488.0000,4711.0000,7052.0000,12967.0000
9,correct,response_length_tokens,249,2505.3092,3030.5155,0.0000,0.0000,1836.0000,3979.0000,12967.0000
9,correct,mean_negative_logprob,404,0.1926,0.2499,0.0000,0.0000,0.0000,0.4135,0.8854
9,correct,mean_logprob,404,-0.1926,0.2499,-0.8854,-0.4135,-0.0000,-0.0000,-0.0000
9,incorrect,response_length_chars,1288,9062.6040,3028.4821,2827.0000,6710.0000,8976.0000,11545.2500,16000.0000
9,incorrect,response_length_tokens,697,3772.1076,4898.6776,0.0000,0.0000,0.0000,8278.0000,16000.0000
9,incorrect,mean_negative_logprob,1288,0.2537,0.3498,0.0000,0.0000,0.0000,0.6057,1.1509
9,incorrect,mean_logprob,1288,-0.2537,0.3498,-1.1509,-0.6057,-0.0000,-0.0000,-0.0000
10,correct,response_length_chars,179,5917.7374,2651.1098,2119.0000,3583.0000,5654.0000,7346.5000,12124.0000
10,correct,response_length_tokens,110,3034.4273,3297.4533,0.0000,0.0000,2615.0000,5654.0000,11947.0000
10,correct,mean_negative_logprob,179,0.2612,0.3053,0.0000,0.0000,0.0000,0.4949,0.9977
10,correct,mean_logprob,179,-0.2612,0.3053,-0.9977,-0.4949,-0.0000,-0.0000,-0.0000
10,incorrect,response_length_chars,1504,9677.5851,2998.0933,750.0000,7481.0000,9794.0000,11795.0000,16000.0000
10,incorrect,response_length_tokens,820,4042.2671,5200.4394,0.0000,0.0000,0.0000,9039.5000,16000.0000
10,incorrect,mean_negative_logprob,1504,0.2512,0.3468,0.0000,0.0000,0.0000,0.6274,1.1301
10,incorrect,mean_logprob,1504,-0.2512,0.3468,-1.1301,-0.6274,-0.0000,-0.0000,-0.0000
11,correct,response_length_chars,243,5931.8025,2447.2090,2295.0000,4049.5000,5469.0000,7268.0000,14580.0000
11,correct,response_length_tokens,144,2724.0208,3219.9241,0.0000,0.0000,0.0000,4898.2500,10728.0000
11,correct,mean_negative_logprob,243,0.1965,0.2637,0.0000,0.0000,0.0000,0.4460,0.8168
11,correct,mean_logprob,243,-0.1965,0.2637,-0.8168,-0.4460,-0.0000,-0.0000,-0.0000
11,incorrect,response_length_chars,1366,9636.9963,3361.6446,1482.0000,7500.0000,9912.5000,12142.0000,16000.0000
11,incorrect,response_length_tokens,762,4412.0157,5400.3626,0.0000,0.0000,0.0000,9711.0000,16000.0000
11,incorrect,mean_negative_logprob,1366,0.2665,0.3478,0.0000,0.0000,0.0000,0.6267,1.0339
11,incorrect,mean_logprob,1366,-0.2665,0.3478,-1.0339,-0.6267,-0.0000,-0.0000,-0.0000
12,correct,response_length_chars,243,5727.4115,2716.4213,1516.0000,3831.0000,5319.0000,7306.5000,15753.0000
12,correct,response_length_tokens,151,3465.4106,3378.6473,0.0000,0.0000,3244.0000,5898.5000,10716.0000
12,correct,mean_negative_logprob,243,0.2990,0.3272,0.0000,0.0000,0.2658,0.5695,0.9842
12,correct,mean_logprob,243,-0.2990,0.3272,-0.9842,-0.5695,-0.2658,-0.0000,-0.0000
12,incorrect,response_length_chars,1457,9666.8861,2794.6412,2645.0000,7453.0000,9852.0000,11664.0000,16000.0000
12,incorrect,response_length_tokens,803,3947.4782,5024.4350,0.0000,0.0000,0.0000,8778.0000,16000.0000
12,incorrect,mean_negative_logprob,1457,0.2560,0.3544,0.0000,0.0000,0.0000,0.6284,1.1085
12,incorrect,mean_logprob,1457,-0.2560,0.3544,-1.1085,-0.6284,-0.0000,-0.0000,-0.0000
13,correct,response_length_chars,180,6346.6944,1976.0743,3356.0000,4893.0000,6029.0000,7112.0000,13112.0000
13,correct,response_length_tokens,110,3385.3273,3384.7970,0.0000,0.0000,3920.5000,5862.5000,13112.0000
13,correct,mean_negative_logprob,180,0.2786,0.3201,0.0000,0.0000,0.0000,0.5841,0.9467
13,correct,mean_logprob,180,-0.2786,0.3201,-0.9467,-0.5841,-0.0000,-0.0000,-0.0000
13,incorrect,response_length_chars,1522,9520.9179,2652.1602,2236.0000,7500.0000,9399.0000,11379.2500,16000.0000
13,incorrect,response_length_tokens,836,4175.5550,5225.2232,0.0000,0.0000,0.0000,9318.2500,16000.0000
13,incorrect,mean_negative_logprob,1522,0.2645,0.3594,0.0000,0.0000,0.0000,0.6704,1.1793
13,incorrect,mean_logprob,1522,-0.2645,0.3594,-1.1793,-0.6704,-0.0000,-0.0000,-0.0000
14,correct,response_length_chars,142,6682.8451,2421.1179,3208.0000,4721.7500,5962.0000,8287.5000,14791.0000
14,correct,response_length_tokens,96,4343.0208,4081.5861,0.0000,0.0000,4428.0000,7627.0000,14791.0000
14,correct,mean_negative_logprob,142,0.2240,0.2439,0.0000,0.0000,0.0000,0.4583,0.6264
14,correct,mean_logprob,142,-0.2240,0.2439,-0.6264,-0.4583,-0.0000,-0.0000,-0.0000
14,incorrect,response_length_chars,1523,9295.1819,2915.5523,2673.0000,7173.5000,9105.0000,11378.0000,16000.0000
14,incorrect,response_length_tokens,832,4135.7440,5234.7178,0.0000,0.0000,0.0000,9199.2500,16000.0000
14,incorrect,mean_negative_logprob,1523,0.2557,0.3511,0.0000,0.0000,0.0000,0.6159,1.0918
14,incorrect,mean_logprob,1523,-0.2557,0.3511,-1.0918,-0.6159,-0.0000,-0.0000,-0.0000
15,correct,response_length_chars,85,7523.8118,2037.7825,5017.0000,6155.0000,6696.0000,8209.0000,14400.0000
15,correct,response_length_tokens,47,3447.2979,4315.2707,0.0000,0.0000,0.0000,7667.0000,14400.0000
15,correct,mean_negative_logprob,85,0.2033,0.2825,0.0000,0.0000,0.0000,0.4395,0.9607
15,correct,mean_logprob,85,-0.2033,0.2825,-0.9607,-0.4395,-0.0000,-0.0000,-0.0000
15,incorrect,response_length_chars,1407,9701.2999,2644.8451,2445.0000,7703.0000,9682.0000,11380.0000,16000.0000
15,incorrect,response_length_tokens,763,4010.8283,5078.5868,0.0000,0.0000,0.0000,8831.5000,16000.0000
15,incorrect,mean_negative_logprob,1407,0.2595,0.3517,0.0000,0.0000,0.0000,0.6365,1.1557
15,incorrect,mean_logprob,1407,-0.2595,0.3517,-1.1557,-0.6365,-0.0000,-0.0000,-0.0000
